I, [2016-07-07T19:15:26.614834 #21225]  INFO -- : Refreshing Gem list
/home/stridor/.rvm/gems/ruby-2.3.0@rails410/gems/activesupport-4.1.0/lib/active_support/values/time_zone.rb:285: warning: circular argument reference - now
I, [2016-07-07T19:15:28.095486 #21225]  INFO -- : listening on addr=/home/stridor/thrive/shared/sockets/unicorn.sock fd=11
I, [2016-07-07T19:15:28.095694 #21225]  INFO -- : worker=0 spawning...
I, [2016-07-07T19:15:28.097602 #21225]  INFO -- : worker=1 spawning...
I, [2016-07-07T19:15:28.098770 #21228]  INFO -- : worker=0 spawned pid=21228
I, [2016-07-07T19:15:28.100473 #21225]  INFO -- : master process ready
I, [2016-07-07T19:15:28.098961 #21228]  INFO -- : worker=0 ready
I, [2016-07-07T19:15:28.109694 #21231]  INFO -- : worker=1 spawned pid=21231
I, [2016-07-07T19:15:28.109966 #21231]  INFO -- : worker=1 ready
100.14.68.209 - - [07/Jul/2016 19:22:07] "GET / HTTP/1.0" 200 - 0.4813
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /nav.css?body=1 HTTP/1.0" 200 3050 0.0135
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /jquery.js?body=1 HTTP/1.0" 200 282767 0.0303
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /application.css?body=1 HTTP/1.0" 200 126908 0.0542
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /jquery_ujs.js?body=1 HTTP/1.0" 200 18448 0.0148
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /turbolinks.js?body=1 HTTP/1.0" 200 24817 0.0146
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /bootstrap.min.js?body=1 HTTP/1.0" 200 36870 0.0160
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /application.js?body=1 HTTP/1.0" 200 8 0.0243
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /bootstrap.min.css?body=1 HTTP/1.0" 200 117902 0.3699
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /facebook.png HTTP/1.0" 200 2020 0.0129
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /twitter.png HTTP/1.0" 200 3821 0.0100
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /instagram.png HTTP/1.0" 200 4964 0.0145
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /logo.gif HTTP/1.0" 200 179439 0.0528
100.14.68.209 - - [07/Jul/2016 19:22:08] "GET /pinterest.png HTTP/1.0" 200 8296 0.0114
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET / HTTP/1.0" 200 - 0.1979
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /nav.css?body=1 HTTP/1.0" 304 - 0.0118
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /bootstrap.min.css?body=1 HTTP/1.0" 304 - 0.0201
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /jquery.js?body=1 HTTP/1.0" 304 - 0.0072
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /jquery_ujs.js?body=1 HTTP/1.0" 304 - 0.0052
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /application.css?body=1 HTTP/1.0" 304 - 0.0198
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /turbolinks.js?body=1 HTTP/1.0" 304 - 0.0071
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /application.js?body=1 HTTP/1.0" 304 - 0.0040
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /bootstrap.min.js?body=1 HTTP/1.0" 304 - 0.0095
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /facebook.png HTTP/1.0" 304 - 0.0064
100.14.68.209 - - [07/Jul/2016 19:24:50] "GET /logo.gif HTTP/1.0" 304 - 0.0088
100.14.68.209 - - [07/Jul/2016 19:24:51] "GET /twitter.png HTTP/1.0" 304 - 0.0071
100.14.68.209 - - [07/Jul/2016 19:24:51] "GET /instagram.png HTTP/1.0" 304 - 0.0091
100.14.68.209 - - [07/Jul/2016 19:24:51] "GET /pinterest.png HTTP/1.0" 304 - 0.0045
100.14.68.209 - - [07/Jul/2016 19:24:54] "GET / HTTP/1.0" 200 - 0.0946
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /bootstrap.min.css?body=1 HTTP/1.0" 200 117902 0.0127
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /jquery.js?body=1 HTTP/1.0" 200 282767 0.0158
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /nav.css?body=1 HTTP/1.0" 200 3050 0.0036
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /application.css?body=1 HTTP/1.0" 200 126908 0.0082
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /jquery_ujs.js?body=1 HTTP/1.0" 200 18448 0.0060
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /turbolinks.js?body=1 HTTP/1.0" 200 24817 0.0035
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /bootstrap.min.js?body=1 HTTP/1.0" 200 36870 0.0039
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /application.js?body=1 HTTP/1.0" 200 8 0.0037
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /facebook.png HTTP/1.0" 200 2020 0.0082
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /twitter.png HTTP/1.0" 200 3821 0.0116
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /instagram.png HTTP/1.0" 200 4964 0.0029
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /pinterest.png HTTP/1.0" 200 8296 0.0130
100.14.68.209 - - [07/Jul/2016 19:24:55] "GET /logo.gif HTTP/1.0" 200 179439 0.0462
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET / HTTP/1.0" 200 - 0.0984
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /nav.css?body=1 HTTP/1.0" 200 3050 0.0085
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /bootstrap.min.css?body=1 HTTP/1.0" 200 117902 0.0164
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /application.css?body=1 HTTP/1.0" 200 126908 0.0130
100.14.68.209 - - [07/Jul/2016 19:25:03] "GET /jquery_ujs.js?body=1 HTTP/1.0" 200 18448 0.0049
